Index, Original Porosity, Generated Porosity
312,0.196899,0.181169
313,0.196899,0.187645
314,0.196899,0.192002
315,0.196899,0.192140
320,0.186036,0.188398
321,0.186036,0.188402
322,0.186036,0.187228
323,0.186036,0.187559
328,0.186036,0.188010
329,0.186036,0.188600
330,0.186036,0.187684
331,0.186036,0.188222
336,0.193637,0.187561
337,0.193637,0.189498
338,0.193637,0.182015
339,0.193637,0.183942
344,0.193637,0.191035
345,0.193637,0.191573
346,0.193637,0.184775
347,0.193637,0.185525
352,0.197755,0.187085
353,0.197755,0.194813
354,0.197755,0.184339
355,0.197755,0.191190
360,0.197755,0.184422
361,0.197755,0.186086
362,0.197755,0.188756
363,0.197755,0.189189
368,0.192589,0.190688
369,0.192589,0.192532
370,0.192589,0.194693
371,0.192589,0.194313
376,0.192589,0.189735
377,0.192589,0.188191
378,0.192589,0.194190
379,0.192589,0.193496
384,0.195174,0.192360
385,0.195174,0.194005
386,0.195174,0.197194
387,0.195174,0.196960
392,0.195174,0.192373
393,0.195174,0.194188
394,0.195174,0.196178
395,0.195174,0.197251
400,0.200100,0.194458
401,0.200100,0.195512
402,0.200100,0.194161
403,0.200100,0.196498
408,0.200100,0.197652
409,0.200100,0.201161
410,0.200100,0.199571
411,0.200100,0.200164
416,0.180811,0.182668
417,0.180811,0.182943
418,0.180811,0.179637
419,0.180811,0.182799
424,0.180811,0.182754
425,0.180811,0.182537
426,0.180811,0.180831
427,0.180811,0.178914
432,0.193040,0.194979
433,0.193040,0.195950
434,0.193040,0.192756
435,0.193040,0.195258
440,0.193040,0.194809
441,0.193040,0.195012
442,0.193040,0.193730
443,0.193040,0.194446
448,0.190987,0.187986
449,0.190987,0.190159
450,0.190987,0.186894
451,0.190987,0.185409
456,0.190987,0.188327
457,0.190987,0.180119
458,0.190987,0.180089
459,0.190987,0.178249
464,0.203965,0.201023
465,0.203965,0.205864
466,0.203965,0.199592
467,0.203965,0.204836
472,0.203965,0.199375
473,0.203965,0.205701
474,0.203965,0.200076
475,0.203965,0.204853
480,0.203141,0.194933
481,0.203141,0.204734
482,0.203141,0.193446
483,0.203141,0.204156
488,0.203141,0.191368
489,0.203141,0.202889
490,0.203141,0.187197
491,0.203141,0.201488
496,0.190115,0.193057
497,0.190115,0.193578
498,0.190115,0.192558
499,0.190115,0.192781
504,0.190115,0.192914
505,0.190115,0.193144
506,0.190115,0.192057
507,0.190115,0.193486
512,0.183776,0.185274
513,0.183776,0.184621
514,0.183776,0.185024
515,0.183776,0.183007
520,0.183776,0.186072
521,0.183776,0.184361
522,0.183776,0.182244
523,0.183776,0.178692
528,0.203184,0.205278
529,0.203184,0.205834
530,0.203184,0.205788
531,0.203184,0.205621
536,0.203184,0.205478
537,0.203184,0.205642
538,0.203184,0.205533
539,0.203184,0.205659
544,0.198128,0.182388
545,0.198128,0.190151
546,0.198128,0.184559
547,0.198128,0.180580
552,0.198128,0.184240
553,0.198128,0.189038
554,0.198128,0.179086
555,0.198128,0.186174
560,0.193124,0.191848
561,0.193124,0.193563
562,0.193124,0.190955
563,0.193124,0.192341
568,0.193124,0.194040
569,0.193124,0.195623
570,0.193124,0.191538
571,0.193124,0.192640
576,0.197893,0.193312
577,0.197893,0.199579
578,0.197893,0.190039
579,0.197893,0.197988
584,0.197893,0.192858
585,0.197893,0.199104
586,0.197893,0.191044
587,0.197893,0.197554
592,0.183656,0.186341
593,0.183656,0.185428
594,0.183656,0.185203
595,0.183656,0.184168
600,0.183656,0.186457
601,0.183656,0.185333
602,0.183656,0.183793
603,0.183656,0.182134
608,0.189063,0.186883
609,0.189063,0.186489
610,0.189063,0.190086
611,0.189063,0.189156
616,0.189063,0.183748
617,0.189063,0.183644
618,0.189063,0.190471
619,0.189063,0.190313
624,0.195428,0.197381
625,0.195428,0.197936
626,0.195428,0.198767
627,0.195428,0.197891
632,0.195428,0.198224
633,0.195428,0.197458
634,0.195428,0.197737
635,0.195428,0.198361
640,0.192749,0.195136
641,0.192749,0.195118
642,0.192749,0.194942
643,0.192749,0.195706
648,0.192749,0.194456
649,0.192749,0.195472
650,0.192749,0.194221
651,0.192749,0.194147
0,0.187853,0.182713
1,0.187853,0.183178
2,0.187853,0.189314
3,0.187853,0.188526
12,0.187853,0.182082
13,0.187853,0.180421
14,0.187853,0.188447
15,0.187853,0.184950
24,0.195299,0.189794
25,0.195299,0.190531
26,0.195299,0.196426
27,0.195299,0.195739
36,0.195299,0.192750
37,0.195299,0.193916
38,0.195299,0.195692
39,0.195299,0.197030
48,0.193782,0.196399
49,0.193782,0.195322
50,0.193782,0.196241
51,0.193782,0.195342
60,0.193782,0.195815
61,0.193782,0.195321
62,0.193782,0.195142
63,0.193782,0.194287
72,0.196459,0.196766
73,0.196459,0.198316
74,0.196459,0.198283
75,0.196459,0.198395
84,0.196459,0.196970
85,0.196459,0.198035
86,0.196459,0.198524
87,0.196459,0.197844
96,0.196539,0.198988
97,0.196539,0.198701
98,0.196539,0.199043
99,0.196539,0.198894
108,0.196539,0.198782
109,0.196539,0.199064
110,0.196539,0.198546
111,0.196539,0.199496
120,0.192424,0.192012
121,0.192424,0.191018
122,0.192424,0.189988
123,0.192424,0.191697
132,0.192424,0.189752
133,0.192424,0.189512
134,0.192424,0.185188
135,0.192424,0.191300
144,0.203135,0.202908
145,0.203135,0.199030
146,0.203135,0.203269
147,0.203135,0.198975
156,0.203135,0.204250
157,0.203135,0.200585
158,0.203135,0.205124
159,0.203135,0.200488
168,0.186301,0.183482
169,0.186301,0.183550
170,0.186301,0.181823
171,0.186301,0.176097
180,0.186301,0.180706
181,0.186301,0.180908
182,0.186301,0.178979
183,0.186301,0.178695
192,0.194753,0.194725
193,0.194753,0.195904
194,0.194753,0.196887
195,0.194753,0.195800
204,0.194753,0.197327
205,0.194753,0.197061
206,0.194753,0.197646
207,0.194753,0.196906
216,0.201839,0.203168
217,0.201839,0.204077
218,0.201839,0.203696
219,0.201839,0.202208
228,0.201839,0.201010
229,0.201839,0.199742
230,0.201839,0.200222
231,0.201839,0.199997
240,0.197633,0.197189
241,0.197633,0.198007
242,0.197633,0.196954
243,0.197633,0.197745
252,0.197633,0.199832
253,0.197633,0.199714
254,0.197633,0.198604
255,0.197633,0.199541
264,0.192757,0.195698
265,0.192757,0.194863
266,0.192757,0.195774
267,0.192757,0.195457
276,0.192757,0.195476
277,0.192757,0.195593
278,0.192757,0.195253
279,0.192757,0.195016
288,0.200058,0.193102
289,0.200058,0.200320
290,0.200058,0.189695
291,0.200058,0.198406
300,0.200058,0.189084
301,0.200058,0.193613
302,0.200058,0.191300
303,0.200058,0.198805
312,0.198202,0.190911
313,0.198202,0.183264
314,0.198202,0.192851
315,0.198202,0.197277
324,0.198202,0.192330
325,0.198202,0.195114
326,0.198202,0.191905
327,0.198202,0.196612
336,0.195439,0.184440
337,0.195439,0.186311
338,0.195439,0.186090
339,0.195439,0.183462
348,0.195439,0.185261
349,0.195439,0.182163
350,0.195439,0.182331
351,0.195439,0.180380
360,0.201508,0.188993
361,0.201508,0.191437
362,0.201508,0.192965
363,0.201508,0.196512
372,0.201508,0.185430
373,0.201508,0.191617
374,0.201508,0.196199
375,0.201508,0.198817
384,0.197472,0.189120
385,0.197472,0.187703
386,0.197472,0.196782
387,0.197472,0.195716
396,0.197472,0.187507
397,0.197472,0.185974
