Index, Original Porosity, Generated Porosity
331,0.292800,0.285550
336,0.272944,0.251034
337,0.272944,0.252693
338,0.272944,0.257397
339,0.272944,0.259324
344,0.272944,0.192414
345,0.272944,0.187726
346,0.272944,0.254217
347,0.272944,0.262011
352,0.180836,0.127803
353,0.180836,0.158127
354,0.180836,0.128713
355,0.180836,0.174528
360,0.180836,0.132916
361,0.180836,0.178669
362,0.180836,0.170934
363,0.180836,0.176454
368,0.222065,0.205758
369,0.222065,0.194579
370,0.222065,0.216861
371,0.222065,0.170200
376,0.222065,0.220481
377,0.222065,0.220032
378,0.222065,0.219747
379,0.222065,0.221478
384,0.198742,0.196870
385,0.198742,0.193791
386,0.198742,0.196593
387,0.198742,0.193757
392,0.198742,0.197295
393,0.198742,0.197330
394,0.198742,0.198353
395,0.198742,0.196381
400,0.262167,0.251846
401,0.262167,0.256253
402,0.262167,0.262163
403,0.262167,0.258229
408,0.262167,0.257187
409,0.262167,0.164595
410,0.262167,0.245214
411,0.262167,0.258787
416,0.227340,0.224634
417,0.227340,0.225518
418,0.227340,0.224645
419,0.227340,0.225329
424,0.227340,0.224003
425,0.227340,0.223327
426,0.227340,0.215938
427,0.227340,0.214505
432,0.238398,0.219022
433,0.238398,0.169538
434,0.238398,0.235473
435,0.238398,0.236802
440,0.238398,0.211874
441,0.238398,0.235758
442,0.238398,0.188004
443,0.238398,0.232735
448,0.279845,0.272411
449,0.279845,0.248582
450,0.279845,0.264147
451,0.279845,0.268707
456,0.279845,0.219101
457,0.279845,0.233401
458,0.279845,0.246683
459,0.279845,0.249304
464,0.238639,0.222635
465,0.238639,0.222616
466,0.238639,0.236511
467,0.238639,0.213060
472,0.238639,0.222270
473,0.238639,0.227186
474,0.238639,0.190201
475,0.238639,0.236945
480,0.220048,0.184561
481,0.220048,0.218546
482,0.220048,0.145195
483,0.220048,0.201758
488,0.220048,0.189108
489,0.220048,0.216424
490,0.220048,0.141526
491,0.220048,0.208851
496,0.290747,0.285884
497,0.290747,0.287797
498,0.290747,0.285716
499,0.290747,0.287255
504,0.290747,0.287320
505,0.290747,0.288577
506,0.290747,0.287546
507,0.290747,0.290751
512,0.286859,0.283504
513,0.286859,0.282853
514,0.286859,0.282732
515,0.286859,0.283564
520,0.286859,0.274601
521,0.286859,0.281926
522,0.286859,0.279390
523,0.286859,0.280387
528,0.254615,0.252895
529,0.254615,0.252051
530,0.254615,0.251520
531,0.254615,0.252093
536,0.254615,0.251848
537,0.254615,0.252371
538,0.254615,0.252539
539,0.254615,0.251981
544,0.266696,0.238670
545,0.266696,0.174004
546,0.266696,0.244877
547,0.266696,0.243549
552,0.266696,0.197822
553,0.266696,0.181661
554,0.266696,0.237938
555,0.266696,0.239849
560,0.265376,0.249375
561,0.265376,0.243111
562,0.265376,0.258834
563,0.265376,0.262065
568,0.265376,0.252202
569,0.265376,0.132548
570,0.265376,0.260344
571,0.265376,0.092655
576,0.264348,0.261120
577,0.264348,0.262192
578,0.264348,0.255602
579,0.264348,0.259400
584,0.264348,0.231015
585,0.264348,0.259641
586,0.264348,0.212492
587,0.264348,0.256038
592,0.287023,0.275463
593,0.287023,0.283947
594,0.287023,0.282691
595,0.287023,0.280306
600,0.287023,0.284095
601,0.287023,0.282894
602,0.287023,0.280293
603,0.287023,0.281531
608,0.240438,0.235496
609,0.240438,0.214703
610,0.240438,0.234265
611,0.240438,0.237614
616,0.240438,0.238062
617,0.240438,0.238180
618,0.240438,0.238470
619,0.240438,0.226095
624,0.250574,0.247872
625,0.250574,0.249613
626,0.250574,0.249101
627,0.250574,0.248517
632,0.250574,0.244208
633,0.250574,0.247823
634,0.250574,0.248666
635,0.250574,0.248653
640,0.286564,0.283954
641,0.286564,0.281288
642,0.286564,0.282826
643,0.286564,0.282264
648,0.286564,0.282589
649,0.286564,0.282169
650,0.286564,0.280806
651,0.286564,0.281871
0,0.193069,0.191551
1,0.193069,0.189422
2,0.193069,0.144122
3,0.193069,0.184041
12,0.193069,0.181473
13,0.193069,0.184845
14,0.193069,0.188653
15,0.193069,0.188715
24,0.282032,0.274701
25,0.282032,0.274375
26,0.282032,0.276053
27,0.282032,0.276644
36,0.282032,0.274060
37,0.282032,0.278087
38,0.282032,0.277439
39,0.282032,0.279042
48,0.318214,0.306987
49,0.318214,0.301358
50,0.318214,0.311729
51,0.318214,0.306986
60,0.318214,0.268547
61,0.318214,0.301465
62,0.318214,0.309713
63,0.318214,0.310217
72,0.173836,0.173789
73,0.173836,0.155456
74,0.173836,0.173010
75,0.173836,0.159429
84,0.173836,0.171918
